,PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,ID
276,9wOtz,8/4k3/3NP3/1p2K3/1P1p4/8/b7/8 b - - 1 68,d4d3 d6f5 e7e8 e5f6 a2e6 f6e6,2436,80,100,113,crushing endgame long,https://lichess.org/1uhf2NJi/black#136,,870182
277,slShY,r2qk2r/p2bbp1p/2p2p2/4p3/3NN3/2P2Q2/PP3PPP/R3K2R w KQkq - 0 13,d4c6 d7c6 e4f6 e7f6 f3c6 e8e7,2437,79,98,127,advantage defensiveMove hangingPiece long middlegame,https://lichess.org/5xKRx3QP#25,Sicilian_Defense Sicilian_Defense_Marshall_Counterattack,4790077
278,EMS6l,r3nrk1/1p3ppp/p3b3/2P1P3/5q2/1Q3N1P/PP2BPP1/3R1RK1 w - - 2 24,e2c4 f4c4 b3b7 a8c8,2437,80,98,136,advantage middlegame short,https://lichess.org/xePVcEQl#47,,1256236
279,OIojb,4r1k1/Q4R2/p3p1pb/4P1q1/2P4p/1P3P1P/PB3P2/5K2 w - - 0 34,a7d7 e8d8 f3f4 d8d7 f4g5 g8f7,2437,77,99,173,advantage endgame long,https://lichess.org/nv9J6Kga#67,,2125076
280,ZUYJn,r1bq2kr/pp2N1p1/2pp1P1p/2b1n2Q/4P3/3P4/PP4PP/n1B2R1K b - - 1 15,g8f8 e7g6 e5g6 h5g6 g7f6 f1f6 d8f6 g6f6,2437,80,99,208,advantage fork middlegame veryLong,https://lichess.org/ukHLD8g6/black#30,Bishops_Opening Bishops_Opening_Vienna_Hybrid,3102681
281,t6ScQ,5r2/7k/7p/1P4p1/PR1p1rP1/4p1K1/5P2/4R3 w - - 0 33,f2e3 f4f2 e3e4 f8f3,2438,79,100,138,clearance endgame mate mateIn2 quietMove rookEndgame short,https://lichess.org/XxFlNbZW#65,,4819941
282,2GFTu,3k4/1P1n3p/8/2PK1P2/7p/8/8/8 b - - 0 59,h4h3 d5d6 h3h2 c5c6 h2h1q c6c7 d8e8 c7c8q,2438,80,98,134,advancedPawn crushing deflection endgame exposedKing knightEndgame promotion veryLong,https://lichess.org/0nfnivDg/black#118,,198056
283,eEdL1,6k1/ppp2ppp/8/n7/3P1qP1/2P2N1P/P1P1rPQ1/1K1R4 w - - 0 24,d1e1 f4f3 e1e2 f3e2,2438,76,99,133,advantage endgame short,https://lichess.org/cH3rKvyO#47,,3517868
284,NrGxj,3r1q1k/7p/p2bp2P/1p3p2/2bP3Q/PP3P2/2R3P1/2R3K1 b - - 0 35,c4b3 c2c8 d6e7 c8d8 e7d8 c1c8,2438,78,99,122,clearance crushing long middlegame pin,https://lichess.org/QyGUiYq5/black#70,,2086410
285,tw0C2,r4rk1/p3Rpbp/b2p2p1/1N1P1P2/4P3/3QB3/q5PP/5R1K b - - 2 22,f8b8 f5g6 a6b5 g6f7 g8f8 e7e8,2438,80,100,82,advancedPawn advantage kingsideAttack long middlegame,https://lichess.org/j4NJoO5H/black#44,,4893085
286,anvrI,8/1P4B1/1b2k3/5p1p/2K5/5P2/8/8 b - - 2 53,b6a7 f3f4 h5h4 g7d4 a7b8 d4e5,2438,78,98,89,bishopEndgame crushing endgame long quietMove,https://lichess.org/F42prFId/black#106,,3217493
287,tT71x,1kq4r/2p1R3/1pB2p2/p5p1/P6p/6P1/4RPKP/8 b - - 1 39,b8a7 e7e8 h4h3 g2f1,2438,80,99,75,advantage defensiveMove endgame short,https://lichess.org/fygcfKEx/black#78,,4852077
288,bFjyk,4r1k1/1p3ppp/8/p2p4/3N2q1/P1PQn1Pb/1P1N4/R1B3KB w - - 1 24,g1h2 g4h5 h2g1 h5d1 d2f1 d1d3,2438,76,98,258,advantage long middlegame quietMove,https://lichess.org/JWBBkrMQ#47,,3256784
289,LyMHL,8/5pp1/7p/3kPKP1/7P/8/8/8 b - - 0 54,h6g5 h4g5 d5c5 g5g6 f7g6 f5g6 c5d5 g6f5,2438,75,99,250,crushing defensiveMove endgame pawnEndgame veryLong zugzwang,https://lichess.org/7SLzIlpe/black#108,,1921487
290,jMetv,3r2k1/pp3ppp/1qp1b3/2b5/2P5/1PQ3P1/PB1rRPBP/4R1K1 b - - 8 19,c5d4 e2e6 f7e6 c3d2,2438,79,98,271,advantage master middlegame short,https://lichess.org/yZaThx0r/black#38,,3966849
291,NsO4P,r2q1k1B/pb1np2p/5ppb/1Bp5/8/2N2P2/P1PPQP1P/R3K2R w KQ - 2 13,b5c4 d7e5 c3e4 d8d4,2439,80,99,123,advantage clearance middlegame short,https://lichess.org/vWSXn9Au#25,Sicilian_Defense Sicilian_Defense_Portsmouth_Gambit,2087948
292,oXaND,8/5r1k/3p2qp/p2P2b1/1p4P1/1P3R1P/4Q1K1/6B1 w - - 9 48,e2e8 f7f3 e8g6 h7g6 g2f3 a5a4 b3a4 b4b3 g1d4 g5f6 d4b2 f6b2,2439,79,98,179,crushing endgame veryLong,https://lichess.org/kOSPP6OO#95,,4420138
293,uOv8A,rr3qk1/5pp1/4p3/3pP2Q/p1bP4/Pp4R1/1R1N1PPP/6K1 b - - 0 28,f8a3 g3h3 g8f8 h3f3,2439,79,100,79,advantage middlegame short,https://lichess.org/2Wmq53Ol/black#56,,4934017
294,D3cc2,2r1k1r1/p3pp2/b2p3B/1pqP4/2P2QP1/1P6/P3B2P/1K3R2 b - - 1 27,b5c4 f4f7 e8d7 f7e6 d7c7 h6e3,2439,79,99,80,advantage attackingF2F7 fork long middlegame,https://lichess.org/2O6wPECS/black#54,,1142453
295,4opMS,8/2R1R1pk/3P3p/8/3q3P/2p3PK/8/8 b - - 0 59,d4d6 e7g7 h7h8 g7e7 d6d8 e7h7,2439,79,99,181,crushing endgame long master queenRookEndgame quietMove,https://lichess.org/kfDa2l5N/black#118,,421732
296,ikaw2,6k1/8/6PP/r4NK1/8/8/8/8 b - - 0 66,a5a1 f5e7 g8f8 g6g7 f8e7 h6h7,2440,75,99,102,advancedPawn crushing endgame exposedKing long sacrifice,https://lichess.org/NsOs4O5R/black#132,,3912773
297,6Ys7W,7k/4R3/5P2/1r2BK1p/8/7r/8/8 b - - 3 43,h3f3 f5g6 b5e5 e7e5 f3g3 g6f7,2440,76,99,121,crushing defensiveMove endgame long,https://lichess.org/dvhtcTX2/black#86,,574402
298,akOQ2,1Q6/5Rpk/p6p/8/2r5/P2nr1NP/q5PK/1R6 b - - 0 29,c4c2 f7g7 h7g7 g3f5 g7g6 f5e3,2440,79,98,350,attraction crushing fork long middlegame sacrifice,https://lichess.org/j5SZ50ix/black#58,,3212442
299,hv5cO,6k1/2p3p1/1p1b3p/3P4/4Q2P/q2B2P1/7K/8 b - - 8 38,a3b4 e4e8 d6f8 e8e6 g8h8 e6g6,2440,80,98,74,crushing endgame long,https://lichess.org/amcfmuPf/black#76,,3839954
300,a71nR,2r4k/5ppp/8/3NpqP1/1pBp3P/1Pb3R1/Q4P2/3K4 w - - 0 33,d5e7 f5e4 g3c3 b4c3,2440,76,99,138,advantage master middlegame short,https://lichess.org/zFWKZr7m#65,,3156995
301,tNwKZ,4r2k/pp4p1/3b2Rp/3p3P/5p1q/2PQ4/PP1B1PP1/6K1 b - - 4 29,f4f3 g6d6 f3g2 g1g2,2440,77,98,237,advantage endgame hangingPiece master short,https://lichess.org/lqQc0Ja2/black#58,,4844765
302,Sebam,6k1/5p1p/6p1/p2R4/P1r5/1r1p4/5PPP/3R2K1 w - - 2 29,d5a5 d3d2 g1f1 b3b1 f1e2 c4e4 e2d2 e4d4,2441,78,100,108,advancedPawn crushing endgame pin rookEndgame veryLong,https://lichess.org/2ohrGezg#57,,2506391
303,oef1I,r7/3b2k1/3bp1p1/P2pP1P1/1p1p4/1B1P2NK/2Pr4/R4R2 w - - 1 37,e5d6 a8h8 h3g4 e6e5,2441,76,99,124,crushing discoveredAttack middlegame short,https://lichess.org/qrobw3k9#73,,4429982
304,vWgkq,5r1k/p6p/4bq2/BP6/2Q4P/5nP1/5PK1/R4R2 w - - 1 33,c4c6 f6f5 a5c3 h8g8 c6e6 f5e6,2441,80,100,44,advantage defensiveMove long middlegame,https://lichess.org/NyZMYEUU#65,,5032217
305,JhNsT,6k1/5r1p/4p1pP/3pP3/1Bbq1rP1/P4PK1/P1Q2R2/7R w - - 7 34,b4c3 d4e3 c2d2 f4f3,2441,78,98,220,advantage middlegame short,https://lichess.org/YB5cCFyt#67,,1722971
306,pHEgI,3Q4/kpp3p1/p1p2p2/5P2/4P3/3P2q1/PPP2R1p/5K2 w - - 0 32,d8d4 c6c5 d4c5 b7b6 f2h2 b6c5,2441,78,100,107,advantage attraction defensiveMove endgame long,https://lichess.org/BZWzdhGT#63,,4484759
307,mkle7,8/6k1/1R6/1pPpP1p1/1r4P1/6K1/8/8 b - - 1 53,d5d4 b6b7 g7f8 c5c6 b4c4 c6c7,2441,80,99,96,advancedPawn crushing endgame long rookEndgame,https://lichess.org/9QW1sgW2/black#106,,4263920
308,XFWwh,r5nr/p1pk4/2p5/2bP2pp/3BR3/1P6/P1P2P1q/R2Q1K2 b - - 2 24,c5d4 d5c6 d7c6 d1d4,2441,78,99,341,advantage intermezzo middlegame pin short,https://lichess.org/dn3XSDnx/black#48,,2906801
309,TfNk8,8/8/3k2p1/3p1pP1/3P4/2RKP3/1r6/8 w - - 1 45,c3c2 b2c2 d3c2 f5f4 c2d3 f4f3 d3d2 d6e6 d2d1 e6f5 d1e1 f5g5,2441,79,98,198,crushing endgame rookEndgame veryLong,https://lichess.org/eEprP5AE#89,,2594727
310,wfGQ0,8/P7/5k2/6p1/3p1q2/2p2Q2/6K1/8 b - - 1 62,c3c2 a7a8q f4f3 a8f3,2441,78,98,314,advancedPawn crushing endgame master promotion queenEndgame short,https://lichess.org/4eNnHVbH/black#124,,5131610
311,FdANn,4r1k1/4b1pp/2Q5/2p1Pp2/5P2/P1p5/6PP/2NqBK2 b - - 0 29,d1c1 c6e8 e7f8 e8e6 g8h8 e6f5,2442,79,98,233,advantage endgame fork hangingPiece long,https://lichess.org/s2DAPvQK/black#58,,1367003
312,PatTv,r1b2Q2/p1k5/1pp3Br/1n2P2P/P1qP4/8/1P6/1K3R1R b - - 3 31,h6g6 f8f7 c4f7 f1f7,2442,78,100,125,crushing fork middlegame short,https://lichess.org/awQOKtHI/black#62,,2238329
313,nN9hY,8/8/p7/PP6/b1P3pk/2K5/7P/8 b - - 0 60,a6b5 c3b4 h4h3 a5a6 a4d1 c4b5,2442,79,100,76,bishopEndgame crushing endgame long,https://lichess.org/clIqdutA/black#120,,4318070
314,IEsyl,7k/5pR1/3N1r1p/8/4p2P/8/8/K7 w - - 0 43,d6e8 f6f1 a1b2 e4e3 g7g2 f1f2,2443,78,99,129,crushing endgame long,https://lichess.org/v9xanTYt#85,,1595079
315,XapOx,6k1/1p2r1pp/p4p2/4pP2/2Rp1PN1/P1nP3P/r5P1/4R2K b - - 0 29,a2a3 c4c8 g8f7 f4e5 f6e5 g4e5 e7e5 e1e5,2443,78,98,423,advantage endgame kingsideAttack veryLong,https://lichess.org/aTgPs2Nh/black#58,,2936620
316,oARDa,8/8/7P/6K1/R5P1/2pk4/8/7r w - - 0 70,g5g6 c3c2 a4a3 d3d4 g4g5 c2c1q,2443,78,98,163,advancedPawn crushing defensiveMove endgame long promotion rookEndgame,https://lichess.org/H7Tdk4j2#139,,4387602
317,pp9Xc,8/5N2/4p3/3pPp2/1Q2kP2/1P5K/8/q1n5 b - - 7 54,a1d4 f7g5 e4e3 b4d4 e3d4 g5e6,2444,77,100,132,advantage attraction endgame long,https://lichess.org/T8rrdbk3/black#108,,4532550
318,PFZrN,2r1n1k1/p2R3p/4N1pQ/4p3/8/q4P2/2K3P1/3R4 w - - 1 31,e6c7 a3a4 c2c1 a4c6 c1d2 c6d7,2444,79,98,193,advantage exposedKing interference long middlegame,https://lichess.org/jgLc7NoT#61,,2208298
319,qwKmS,5rk1/6p1/4N2p/8/4ppQ1/P1B5/1PK4P/5q2 b - - 5 49,f1f2 c2b3 f8f7 e6g7,2444,76,98,80,advantage defensiveMove endgame short,https://lichess.org/lAk7KWmg/black#98,,4629912
